"ZipCode","Type","City","State","IsPrimaryCity"
"01843","Standard","LAWRENCE","MA","1"
"01844","Standard","METHUEN","MA","1"
"01845","Standard","NORTH ANDOVER","MA","1"
"01850","Standard","LOWELL","MA","1"
"01851","Standard","LOWELL","MA","1"
"01852","Standard","LOWELL","MA","1"
"01853","POBox","LOWELL","MA","1"
"01854","Standard","LOWELL","MA","1"
"01860","Standard","MERRIMAC","MA","1"
"01862","Standard","NORTH BILLERICA","MA","1"
"01862","Standard","N BILLERICA","MA","0"
"01863","Standard","NORTH CHELMSFORD","MA","1"
"01863","Standard","N CHELMSFORD","MA","0"
"01864","Standard","NORTH READING","MA","1"
