Lender,MonthApproved,AvgPerJobAmount
"ITRIA VENTURES LLC",JULY,2000.0
"AMERICAN AGCREDIT, ACA",MAY,1750.0
"CHARTWAY FCU",APRIL,1736.11083333333
"SANTA CRUZ COUNTY BANK",APRIL,1708.0
"PACIFIC CITY BANK",APRIL,1675.0
"ITRIA VENTURES LLC",JUNE,1600.0
"NUMERICA CU",JUNE,1365.88333333333
"TRUIST BANK D/B/A BRANCH BANKING & TRUST CO",APRIL,1300.0
"PINPOINT FCU",MAY,1100.0
"NBKC BANK",APRIL,1000.0
"CACHE VALLEY BANK",APRIL,53.0
